id                                  |recipient_user_id                   |recipient_role    |fair_category_stage_id              |provider    |type                            |title                                                                        |body                                                                                                                                                                         |payload                                                                                                                                                                                                                                                        |status|sent_at|failed_at              |error_message                                                                       |created_at             |updated_at             |read_at                |archived_at|
0deb804c-a6e2-4119-959a-dd587b12ec65|75965c96-0a24-4318-9706-61b1350b550d|TECHNICAL_DIRECTOR|7640030a-b9e9-4281-a1bd-98792b0d0f26|PUSHER_BEAMS|ROUND_FORM_CLOSED               |Tarjeta TIE_BREAK cerrada - Caballos 60 - 78 meses Trote y Galope Colombiano |Un juez cerró su tarjeta TIE_BREAK para Caballos 60 - 78 meses Trote y Galope Colombiano - TROTE Y GALOPE COLOMBIANOS en EXPOSEDE.                                           |{"roundId": "fb543c38-77b4-40c6-b257-8ea78dd0ebfd", "stageId": "7640030a-b9e9-4281-a1bd-98792b0d0f26", "deepLink": "/staff/categories/7640030a-b9e9-4281-a1bd-98792b0d0f26", "fairName": "EXPOSEDE", "gaitName": "TROTE Y GALOPE COLOMBIANOS", "judgeUserId": "|FAILED|       |2026-06-19 20:52:16.582|422 Unprocessable Entity - `web.notification.deep_link`: Does not match format 'uri'|2026-06-19 20:52:13.981|2026-06-19 20:52:16.604|                       |           |
0c4c80b1-7165-4229-89e2-8ae825b945d8|cf49ed28-22a2-4353-bbd8-86c842764abc|VETERINARIAN      |7640030a-b9e9-4281-a1bd-98792b0d0f26|PUSHER_BEAMS|JUDGING_STARTED                 |Juzgamiento iniciado - Caballos 60 - 78 meses Trote y Galope Colombiano      |El director tecnico inicio el juzgamiento de Caballos 60 - 78 meses Trote y Galope Colombiano - TROTE Y GALOPE COLOMBIANOS en EXPOSEDE.                                      |{"stageId": "7640030a-b9e9-4281-a1bd-98792b0d0f26", "deepLink": "/staff/categories/7640030a-b9e9-4281-a1bd-98792b0d0f26", "fairName": "EXPOSEDE", "gaitName": "TROTE Y GALOPE COLOMBIANOS", "categoryName": "Caballos 60 - 78 meses Trote y Galope Colombiano"}|FAILED|       |2026-06-19 20:42:16.262|422 Unprocessable Entity - `web.notification.deep_link`: Does not match format 'uri'|2026-06-19 20:42:13.843|2026-06-19 20:42:16.285|                       |           |
4dece7c3-360c-4343-a5cf-f1107d3e8c18|f6d3ab1d-3ff7-41e8-b776-e0261e1ac3a7|JUDGE             |7640030a-b9e9-4281-a1bd-98792b0d0f26|PUSHER_BEAMS|JUDGING_CLOSED                  |Resultado oficial - Caballos 60 - 78 meses Trote y Galope Colombiano         |El resultado oficial de Caballos 60 - 78 meses Trote y Galope Colombiano - TROTE Y GALOPE COLOMBIANOS en EXPOSEDE quedó cerrado.                                             |{"stageId": "7640030a-b9e9-4281-a1bd-98792b0d0f26", "deepLink": "/staff/categories/7640030a-b9e9-4281-a1bd-98792b0d0f26", "fairName": "EXPOSEDE", "gaitName": "TROTE Y GALOPE COLOMBIANOS", "categoryName": "Caballos 60 - 78 meses Trote y Galope Colombiano"}|FAILED|       |2026-06-19 20:54:56.447|422 Unprocessable Entity - `web.notification.deep_link`: Does not match format 'uri'|2026-06-19 20:54:54.712|2026-06-19 20:54:56.468|                       |           |
ebfec954-0f9f-41d3-a32b-2ce05f47a4a1|7f1e93d5-8353-4b18-afa0-af12ef39938e|JUDGE             |7640030a-b9e9-4281-a1bd-98792b0d0f26|PUSHER_BEAMS|JUDGING_CLOSED                  |Resultado oficial - Caballos 60 - 78 meses Trote y Galope Colombiano         |El resultado oficial de Caballos 60 - 78 meses Trote y Galope Colombiano - TROTE Y GALOPE COLOMBIANOS en EXPOSEDE quedó cerrado.                                             |{"stageId": "7640030a-b9e9-4281-a1bd-98792b0d0f26", "deepLink": "/staff/categories/7640030a-b9e9-4281-a1bd-98792b0d0f26", "fairName": "EXPOSEDE", "gaitName": "TROTE Y GALOPE COLOMBIANOS", "categoryName": "Caballos 60 - 78 meses Trote y Galope Colombiano"}|FAILED|       |2026-06-19 20:54:56.382|422 Unprocessable Entity - `web.notification.deep_link`: Does not match format 'uri'|2026-06-19 20:54:54.712|2026-06-19 20:55:46.786|2026-06-19 20:55:46.778|           |
b45c599c-1fb9-4c28-904c-a0a764042d5c|f6d3ab1d-3ff7-41e8-b776-e0261e1ac3a7|JUDGE             |7640030a-b9e9-4281-a1bd-98792b0d0f26|PUSHER_BEAMS|ROUND_OPENED                    |F2 (tarjeta final) abierta - Caballos 60 - 78 meses Trote y Galope Colombiano|El director técnico abrió F2 (tarjeta final) para Caballos 60 - 78 meses Trote y Galope Colombiano - TROTE Y GALOPE COLOMBIANOS en EXPOSEDE.                                 |{"roundId": "039b4d41-2fa6-4598-9dab-c605b387d4de", "stageId": "7640030a-b9e9-4281-a1bd-98792b0d0f26", "deepLink": "/staff/categories/7640030a-b9e9-4281-a1bd-98792b0d0f26", "fairName": "EXPOSEDE", "gaitName": "TROTE Y GALOPE COLOMBIANOS", "roundType": "F2|FAILED|       |2026-06-19 20:46:55.097|422 Unprocessable Entity - `web.notification.deep_link`: Does not match format 'uri'|2026-06-19 20:46:53.285|2026-06-19 20:46:55.120|                       |           |
5abe8e64-a3d3-426f-8a36-8909cd5a3d18|75965c96-0a24-4318-9706-61b1350b550d|TECHNICAL_DIRECTOR|7640030a-b9e9-4281-a1bd-98792b0d0f26|PUSHER_BEAMS|ROUND_FORM_CLOSED               |Tarjeta F2 cerrada - Caballos 60 - 78 meses Trote y Galope Colombiano        |Un juez cerró su tarjeta F2 para Caballos 60 - 78 meses Trote y Galope Colombiano - TROTE Y GALOPE COLOMBIANOS en EXPOSEDE.                                                  |{"roundId": "039b4d41-2fa6-4598-9dab-c605b387d4de", "stageId": "7640030a-b9e9-4281-a1bd-98792b0d0f26", "deepLink": "/staff/categories/7640030a-b9e9-4281-a1bd-98792b0d0f26", "fairName": "EXPOSEDE", "gaitName": "TROTE Y GALOPE COLOMBIANOS", "judgeUserId": "|FAILED|       |2026-06-19 20:49:47.675|422 Unprocessable Entity - `web.notification.deep_link`: Does not match format 'uri'|2026-06-19 20:49:43.154|2026-06-19 20:49:47.696|                       |           |
f4767924-0735-49d7-be0f-f33f4154284d|75965c96-0a24-4318-9706-61b1350b550d|TECHNICAL_DIRECTOR|7640030a-b9e9-4281-a1bd-98792b0d0f26|PUSHER_BEAMS|ROUND_FORM_CLOSED               |Tarjeta F2 cerrada - Caballos 60 - 78 meses Trote y Galope Colombiano        |Un juez cerró su tarjeta F2 para Caballos 60 - 78 meses Trote y Galope Colombiano - TROTE Y GALOPE COLOMBIANOS en EXPOSEDE.                                                  |{"roundId": "039b4d41-2fa6-4598-9dab-c605b387d4de", "stageId": "7640030a-b9e9-4281-a1bd-98792b0d0f26", "deepLink": "/staff/categories/7640030a-b9e9-4281-a1bd-98792b0d0f26", "fairName": "EXPOSEDE", "gaitName": "TROTE Y GALOPE COLOMBIANOS", "judgeUserId": "|FAILED|       |2026-06-19 20:50:00.555|422 Unprocessable Entity - `web.notification.deep_link`: Does not match format 'uri'|2026-06-19 20:49:47.684|2026-06-19 20:50:00.573|                       |           |
396ede74-fd37-46cd-a82b-10f056aa00ee|7f1e93d5-8353-4b18-afa0-af12ef39938e|JUDGE             |7640030a-b9e9-4281-a1bd-98792b0d0f26|PUSHER_BEAMS|JUDGING_PARTICIPANT_DISQUALIFIED|Ejemplar 7 descalificado - Caballos 60 - 78 meses Trote y Galope Colombiano  |Motivo: No dirigirse al area de espera o bahia. Categoría: Caballos 60 - 78 meses Trote y Galope Colombiano - TROTE Y GALOPE COLOMBIANOS en EXPOSEDE.                        |{"roundId": "039b4d41-2fa6-4598-9dab-c605b387d4de", "stageId": "7640030a-b9e9-4281-a1bd-98792b0d0f26", "deepLink": "/staff/categories/7640030a-b9e9-4281-a1bd-98792b0d0f26", "fairName": "EXPOSEDE", "gaitName": "TROTE Y GALOPE COLOMBIANOS", "reasonId": "b15|FAILED|       |2026-06-19 20:48:59.644|422 Unprocessable Entity - `web.notification.deep_link`: Does not match format 'uri'|2026-06-19 20:48:56.504|2026-06-19 20:55:46.786|2026-06-19 20:55:46.778|           |
ee5521b8-8362-462e-bbe9-64eaab63a732|75965c96-0a24-4318-9706-61b1350b550d|TECHNICAL_DIRECTOR|7640030a-b9e9-4281-a1bd-98792b0d0f26|PUSHER_BEAMS|JUDGE_FA_CLOSED                 |FA cerrado - Caballos 60 - 78 meses Trote y Galope Colombiano                |Un juez cerro su Formato FA para Caballos 60 - 78 meses Trote y Galope Colombiano - TROTE Y GALOPE COLOMBIANOS en EXPOSEDE.                                                  |{"stageId": "7640030a-b9e9-4281-a1bd-98792b0d0f26", "deepLink": "/staff/categories/7640030a-b9e9-4281-a1bd-98792b0d0f26", "fairName": "EXPOSEDE", "gaitName": "TROTE Y GALOPE COLOMBIANOS", "judgeUserId": "f6d3ab1d-3ff7-41e8-b776-e0261e1ac3a7", "categoryNam|FAILED|       |2026-06-19 20:44:08.134|422 Unprocessable Entity - `web.notification.deep_link`: Does not match format 'uri'|2026-06-19 20:44:07.433|2026-06-19 20:44:36.082|                       |           |
316c6559-280c-479d-b1c1-2ae75e02725e|f6d3ab1d-3ff7-41e8-b776-e0261e1ac3a7|JUDGE             |7640030a-b9e9-4281-a1bd-98792b0d0f26|PUSHER_BEAMS|JUDGING_PARTICIPANT_DISQUALIFIED|Ejemplar 7 descalificado - Caballos 60 - 78 meses Trote y Galope Colombiano  |Motivo: No dirigirse al area de espera o bahia. Categoría: Caballos 60 - 78 meses Trote y Galope Colombiano - TROTE Y GALOPE COLOMBIANOS en EXPOSEDE.                        |{"roundId": "039b4d41-2fa6-4598-9dab-c605b387d4de", "stageId": "7640030a-b9e9-4281-a1bd-98792b0d0f26", "deepLink": "/staff/categories/7640030a-b9e9-4281-a1bd-98792b0d0f26", "fairName": "EXPOSEDE", "gaitName": "TROTE Y GALOPE COLOMBIANOS", "reasonId": "b15|FAILED|       |2026-06-19 20:48:59.705|422 Unprocessable Entity - `web.notification.deep_link`: Does not match format 'uri'|2026-06-19 20:48:56.504|2026-06-19 20:48:59.724|                       |           |
d146c889-5496-4ebf-b572-3a59047011ae|75965c96-0a24-4318-9706-61b1350b550d|TECHNICAL_DIRECTOR|7640030a-b9e9-4281-a1bd-98792b0d0f26|PUSHER_BEAMS|JUDGING_PARTICIPANT_DISQUALIFIED|Ejemplar 7 descalificado - Caballos 60 - 78 meses Trote y Galope Colombiano  |Motivo: No dirigirse al area de espera o bahia. Categoría: Caballos 60 - 78 meses Trote y Galope Colombiano - TROTE Y GALOPE COLOMBIANOS en EXPOSEDE.                        |{"roundId": "039b4d41-2fa6-4598-9dab-c605b387d4de", "stageId": "7640030a-b9e9-4281-a1bd-98792b0d0f26", "deepLink": "/staff/categories/7640030a-b9e9-4281-a1bd-98792b0d0f26", "fairName": "EXPOSEDE", "gaitName": "TROTE Y GALOPE COLOMBIANOS", "reasonId": "b15|FAILED|       |2026-06-19 20:49:24.837|422 Unprocessable Entity - `web.notification.deep_link`: Does not match format 'uri'|2026-06-19 20:48:56.504|2026-06-19 20:49:24.859|                       |           |
